epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
94,115.331,0.42594,0.98512,0.00436,0.91291,1,0.98885,0.91673,0.40253,0.23841,0.00554,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793
95,116.409,0.51544,0.81145,0.00489,0.91429,1,0.98885,0.93455,0.39068,0.23939,0.00538,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
96,117.481,0.47163,0.68431,0.00466,0.91495,1,0.98269,0.92161,0.35185,0.24808,0.00478,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
97,118.396,0.55711,0.87282,0.00497,0.91495,1,0.98269,0.92161,0.35185,0.24808,0.00478,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
98,119.495,0.34022,0.77865,0.00339,0.91062,1,0.98885,0.92779,0.35348,0.24109,0.0048,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397
99,120.599,0.46372,0.72328,0.00455,1,0.96493,0.995,0.95223,0.36455,0.24708,0.00495,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
100,122.384,0.49307,0.76332,0.00511,0.91669,0.91703,0.98885,0.94767,0.36297,0.25948,0.00525,0.0030597,0.0010199,0.0030597,0.0010199,0.0030597,0.0010199,0.0030597,0.0010199
101,123.342,0.46417,0.67596,0.00413,0.91669,0.91703,0.98885,0.94767,0.36297,0.25948,0.00525,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
102,124.426,0.5324,0.71666,0.00473,0.90156,1,0.98885,0.93118,0.35624,0.25342,0.00494,0.0030003,0.0010001,0.0030003,0.0010001,0.0030003,0.0010001,0.0030003,0.0010001
103,124.447,0.44013,0.70284,0.00386,0.98082,1,0.995,0.94052,0.35924,0.25378,0.00487,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
104,125.509,0.43208,0.73033,0.00389,0.97941,1,0.995,0.93135,0.40368,0.26625,0.00555,0.0029409,0.0009803,0.0029409,0.0009803,0.0029409,0.0009803,0.0029409,0.0009803
105,126.442,0.41504,0.61581,0.00339,0.97941,1,0.995,0.93135,0.40368,0.26625,0.00555,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
106,127.549,0.51711,0.92557,0.00515,0.97939,0.91667,0.979,0.89926,0.39938,0.2877,0.00546,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
107,128.674,0.4557,0.68051,0.00507,0.91519,0.91667,0.98357,0.89703,0.42238,0.29984,0.00582,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
108,129.75,0.41614,0.77711,0.0035,1,0.91158,0.98357,0.90941,0.44369,0.29887,0.00594,0.0028221,0.0009407,0.0028221,0.0009407,0.0028221,0.0009407,0.0028221,0.0009407
109,130.678,0.41959,0.58954,0.00383,1,0.91158,0.98357,0.90941,0.44369,0.29887,0.00594,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
110,131.777,0.43729,0.67608,0.00352,1,0.91495,0.979,0.9223,0.41412,0.29707,0.00558,0.0027627,0.0009209,0.0027627,0.0009209,0.0027627,0.0009209,0.0027627,0.0009209
111,132.851,0.41775,0.74227,0.00323,0.99011,0.91667,0.979,0.91509,0.39458,0.27397,0.00537,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
112,133.947,0.45742,0.67738,0.00396,0.99279,0.91667,0.98885,0.92847,0.41444,0.27002,0.00553,0.0027033,0.0009011,0.0027033,0.0009011,0.0027033,0.0009011,0.0027033,0.0009011
113,134.904,0.3971,0.6613,0.00441,0.99279,0.91667,0.98885,0.92847,0.41444,0.27002,0.00553,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
114,135.993,0.42872,0.58713,0.00427,0.9222,0.98865,0.98885,0.92124,0.43087,0.27882,0.00586,0.0026439,0.0008813,0.0026439,0.0008813,0.0026439,0.0008813,0.0026439,0.0008813
115,137.079,0.42834,0.63887,0.00373,0.91775,1,0.98885,0.92277,0.42525,0.26088,0.00581,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
116,138.163,0.42866,0.59666,0.00419,0.91242,1,0.98885,0.93371,0.4186,0.24094,0.00568,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
117,139.123,0.38747,0.64885,0.0029,0.91242,1,0.98885,0.93371,0.4186,0.24094,0.00568,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
118,140.197,0.42183,0.63991,0.00407,0.99721,1,0.995,0.92165,0.42315,0.22388,0.00538,0.0025251,0.0008417,0.0025251,0.0008417,0.0025251,0.0008417,0.0025251,0.0008417
119,141.285,0.42691,0.69084,0.00397,1,0.99729,0.995,0.92971,0.42023,0.22199,0.00546,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
120,142.356,0.37733,0.73286,0.00334,0.96289,1,0.995,0.9328,0.42113,0.22345,0.00558,0.0024657,0.0008219,0.0024657,0.0008219,0.0024657,0.0008219,0.0024657,0.0008219
121,143.281,0.38371,0.64853,0.00358,0.96289,1,0.995,0.9328,0.42113,0.22345,0.00558,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
122,144.359,0.48927,0.63034,0.0044,0.92872,1,0.995,0.91033,0.42967,0.2241,0.0057,0.0024063,0.0008021,0.0024063,0.0008021,0.0024063,0.0008021,0.0024063,0.0008021
123,145.443,0.40299,0.66496,0.00407,1,0.96979,0.995,0.89504,0.42817,0.21541,0.00553,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
124,146.533,0.31564,0.61836,0.00241,0.91573,1,0.98885,0.89359,0.43256,0.22244,0.00559,0.0023469,0.0007823,0.0023469,0.0007823,0.0023469,0.0007823,0.0023469,0.0007823
125,147.484,0.40759,0.55681,0.00455,0.91573,1,0.98885,0.89359,0.43256,0.22244,0.00559,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
126,148.565,0.4283,0.65049,0.0039,0.9948,1,0.995,0.92284,0.4283,0.2238,0.00566,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
127,149.654,0.44764,0.54091,0.00407,1,0.99054,0.995,0.91509,0.43526,0.22715,0.00586,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
128,150.743,0.39957,0.61689,0.00329,1,0.97253,0.995,0.9262,0.41283,0.23694,0.00547,0.0022281,0.0007427,0.0022281,0.0007427,0.0022281,0.0007427,0.0022281,0.0007427
129,151.691,0.40083,0.57978,0.00331,1,0.97253,0.995,0.9262,0.41283,0.23694,0.00547,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
130,152.848,0.42473,0.57295,0.00426,1,0.97011,0.995,0.91385,0.40873,0.23734,0.00541,0.0021687,0.0007229,0.0021687,0.0007229,0.0021687,0.0007229,0.0021687,0.0007229
131,154.013,0.5565,0.66058,0.0066,1,0.98784,0.995,0.92079,0.42615,0.23562,0.00596,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
